,addresses
perpetual-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xbc396689893d065f41bc2c6ecbee5e0085233447'}, 'xdai': {'decimal_place': 18, 'contract_address': '0x7ecf26cd9a36990b8ea477853663092333f59979'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x4e7f408be2d4e9d60f49a64b89bb619c84c7c6f5'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x753d224bcf9aafacd81558c32341416df61d3dac'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x9e1028f5f1d5ede59748ffcee5532509976840e0'}}"
phenix-finance-2,"{'cronos': {'decimal_place': 18, 'contract_address': '0x52438441073a33b6fcbc70fa3f3f334f2da19906'}}"
photonswap,"{'cronos': {'decimal_place': 18, 'contract_address': '0xbdd4e5660839a088573191a9889a262c0efc0983'}}"
phuture,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xe1fc4455f62a6e89476f1072530c20cf1a0622da'}}"
phux-governance-token,"{'pulsechain': {'decimal_place': 18, 'contract_address': '0x9663c2d75ffd5f4017310405fce61720af45b829'}}"
pickle-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x429881672b9ae42b8eba0e26cd9c73711b891ca5'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x2b88ad57897a8b496595925f43048301c37615da'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x965772e0e9c84b6f359c8597c891108dcf1c5b1a'}, 'aurora': {'decimal_place': 18, 'contract_address': '0x291c8fceaca3342b29cc36171deb98106f712c66'}}"
pika-protocol,"{'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x9a601c5bb360811d96a23689066af316a30c3027'}}"
pinnako,"{'zksync': {'decimal_place': None, 'contract_address': '0xf8c6da1bbdc31ea5f968ace76e931685ca7f9962'}}"
unipilot,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x37c997b35c619c21323f3518b9357914e8b99525'}}"
pine,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x569424c5ee13884a193773fdc5d1c5f79c443a51'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x612d833c0c7a54cdfbe9a4328b6d658020563ec0'}}"
pinjam-kava,"{'kava': {'decimal_place': 18, 'contract_address': '0xe5274e38e91b615d8822e8512a29a16ff1b9c4af'}}"
pinksale,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x602ba546a7b06e0fc7f58fd27eb6996ecc824689'}}"
plutusdao,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x51318b7d00db7acc4026c88c3952b66278b6a67f'}}"
pulsex,"{'pulsechain': {'decimal_place': 18, 'contract_address': '0x95b303987a60c71504d99aa1b13b4da07b0790ab'}}"
plenty-ply,"{'tezos': {'decimal_place': 17, 'contract_address': 'KT1JVjgXPMMSaa6FkzeJcgb8q9cUaLmwaJUX'}}"
aurigami,"{'aurora': {'decimal_place': 18, 'contract_address': '0x09c9d464b58d96837f8d8b6f4d9fe4ad408d3a4f'}, 'near-protocol': {'decimal_place': 18, 'contract_address': '1ab43204a195a0fd37edec621482afd3792ef90b.factory.bridge.near'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x1ab43204a195a0fd37edec621482afd3792ef90b'}}"
pangolin,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x60781c2586d68229fde47564546784ab3faca982'}}"
pnetwork,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xdaacb0ab6fb34d24e8a67bfa14bf4d95d4c7af92'}}"
polar-token,"{'aurora': {'decimal_place': 18, 'contract_address': '0xf0f3b9eee32b1f490a4b8720cf6f005d4ae9ea86'}}"
poofcash,"{'celo': {'decimal_place': 18, 'contract_address': '0x00400fcbf0816bebb94654259de7273f4a05c762'}}"
pooltogether,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0cec1a9154ff802e7934fc916ed7ca50bde6844e'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x25788a1a171ec66da6502f9975a15b609ff54cf6'}}"
popcorn,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xd0cd466b34a24fcb2f87676278af2005ca8a78c4'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xe8647ea19496e87c061bbad79f457928b2f52b5a'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x68ead55c258d6fa5e46d67fc90f53211eab885be'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x6f0fecbc276de8fc69257065fe47c5a03d986394'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xc5b57e9a1e7914fda753a88f24e5703e617ee50c'}}"
swapsicle-pops,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x240248628b7b6850352764c5dfa50d1592a033a8'}, 'telos': {'decimal_place': None, 'contract_address': '0x173fd7434b8b50df08e3298f173487ebdb35fd14'}}"
port-finance,"{'solana': {'decimal_place': 6, 'contract_address': 'PoRTjZMPXb9T7dyU7tpLEZRQj7e6ssfAE62j2oQuc6y'}}"
chainport,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x104f3152d8ebfc3f679392977356962ff36566ac'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x189586b5f6317538ae50c20a976597da38984a24'}}"
moonpot,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x3fcca8648651e5b974dd6d3e50f61567779772a8'}}"
unipower,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xf2f9a7e93f845b3ce154efbeb64fb9346fcce509'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x00d5149cdf7cec8725bf50073c51c4fa58ecca12'}}"
swappi,"{'conflux': {'decimal_place': 18, 'contract_address': '0x22f41abf77905f50df398f21213290597e7414dd'}}"
proteo-defi,"{'elrond': {'decimal_place': 18, 'contract_address': 'PROTEO-0c7311'}}"
parrot-protocol,"{'solana': {'decimal_place': 6, 'contract_address': 'PRT88RkA4Kg5z7pKnezeNH4mafTvtQdfFgpQTGRjz44'}}"
protectorate-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xb9098d3669a78e9afe8b94a97290407400d9da31'}}"
proxy,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0xab3d689c22a2bb821f50a4ff0f21a7980dcb8591'}}"
tridentdao,"{'arbitrum-one': {'decimal_place': 9, 'contract_address': '0x602eb0d99a5e3e76d1510372c4d2020e12eaea8a'}}"
pstake-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xfb5c6815ca3ac72ce9f5006869ae67f18bf77006'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x4c882ec256823ee773b25b414d36f92ef58a7c0c'}}"
polkaswap,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x519c1001d550c0a1dae7d1fc220f7d14c2a521bb'}, 'sora': {'decimal_place': 18, 'contract_address': '0x0200050000000000000000000000000000000000000000000000000000000000'}}"
psyoptions,"{'solana': {'decimal_place': 6, 'contract_address': 'PsyFiqqjiv41G7o5SMRzDJCu4psptThNR2GtfeGHfSq'}}"
pegasys,"{'syscoin': {'decimal_place': 18, 'contract_address': '0xe18c200a70908c89ffa18c628fe1b83ac0065ea4'}}"
pilot,"{'huobi-token': {'decimal_place': 18, 'contract_address': '0x52ee54dd7a68e9cf131b0a57fd6015c74d7140e2'}}"
platypus-finance,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x22d4002028f537599be9f666d1c4fa138522f9c8'}}"
puzzle-swap,"{'waves': {'decimal_place': 8, 'contract_address': 'HEB8Qaw9xrWpWs8tHsiATYGBWDBtP2S7kcPALrMu43AS'}}"
polyquity,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x5a3064cbdccf428ae907796cf6ad5a664cd7f3d8'}}"
quicksilver,"{'osmosis': {'decimal_place': -1, 'contract_address': 'ibc/635CB83EF1DFE598B10A3E90485306FD0D47D34217A4BE5FD9977FA010A5367D'}}"
benqi,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x8729438eb15e2c8b576fcc6aecda6a148776c0f5'}}"
qi-dao,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x580a84c73811e1839f75d86d75d88cca0c241ff4'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x3f56e0c36d275367b8c502090edf38289b3dea0d'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xa56f9a54880afbc30cf29bb66d2d9adcdcaeadd6'}}"
flatqube,"{'everscale': {'decimal_place': 9, 'contract_address': '0:9f20666ce123602fd7a995508aeaa0ece4f92133503c0dfbd609b3239f3901e2'}}"
quickswap,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0xb5c064f955d8e7f38fe0460c556a72987494ee17'}, 'polygon-zkevm': {'decimal_place': 18, 'contract_address': '0x68286607a1d43602d880d349187c3c48c0fd05e6'}, 'ethereum': {'decimal_place': None, 'contract_address': '0xd2ba23de8a19316a638dc1e7a9adda1d74233368'}, 'dogechain': {'decimal_place': 18, 'contract_address': '0xb12c13e66ade1f72f71834f2fc5082db8c091358'}}"
quipuswap-governance-token,"{'tezos': {'decimal_place': None, 'contract_address': 'KT193D4vozYnhGJQVtw7CoxxqphqUEEwK6Vb'}}"
quo,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x08b450e4a48c04cdf6db2bd4cf24057f7b9563ff'}}"
rabbit-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x95a1199eba84ac5f19546519e287d43d2f0e1b41'}}"
radioshack,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x613a489785c95afeb3b404cc41565ccff107b6e0'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x30807d3b851a31d62415b8bb7af7dca59390434a'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xf899e3909b4492859d44260e1de41a9e663e70f5'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x02bfd11499847003de5f0f5aa081c43854d48815'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x7a5d3a9dcd33cb8d527f7b5f96eb4fef43d55636'}, 'cronos': {'decimal_place': 18, 'contract_address': '0xf899e3909b4492859d44260e1de41a9e663e70f5'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xf899e3909b4492859d44260e1de41a9e663e70f5'}}"
radiate-protocol,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x7ca0b5ca80291b1feb2d45702ffe56a7a53e7a97'}}"
railgun,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xe76c6c83af64e4c60245d8c7de953df673a7a33d'}}"
ramses-exchange,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xaaa6c1e32c55a7bfa8066a6fae9b42650f262418'}}"
ramp,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x33d0568941c0c64ff7e0fb4fba0b11bd37deed9f'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x8519ea49c997f50ceffa444d240fb655e89248aa'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xaecebfcf604ad245eaf0d5bd68459c3a7a6399c2'}}"
ratio-finance,"{'solana': {'decimal_place': None, 'contract_address': 'ratioMVg27rSZbSvBopUvsdrGUzeALUfFma61mpxc8J'}}"
raydium,"{'solana': {'decimal_place': 6, 'contract_address': '4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R'}}"
ribbon-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x6123b0049f904d730db3c36a31167d9d4121fa6b'}}"
rbx-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x8254e26e453eb5abd29b3c37ac9e8da32e5d3299'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xace3574b8b054e074473a9bd002e5dc6dd3dff1b'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x94960952876e3ed6a7760b198354fcc5319a406a'}}"
rocketswap,"{'base': {'decimal_place': 18, 'contract_address': '0x6653dd4b92a0e5bf8ae570a98906d9d6fd2eec09'}}"
radiant-capital,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x3082cc23568ea640225c2467653db90e9250aaa0'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xf7de7e8a6bd59ed41a4b5fe50278b3b7f31384df'}}"
ref-finance,"{'near-protocol': {'decimal_place': 0, 'contract_address': 'token.v2.ref-finance.near'}}"
relay-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x5d843fa9495d23de997c394296ac7b4d721e841c'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xe338d4250a4d959f88ff8789eaae8c32700bd175'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x1426cf37caa89628c4da2864e40cf75e6d66ac6b'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x78c42324016cd91d1827924711563fb66e33a83a'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x904371845bc56dcbbcf0225ef84a669b2fd6bd0d'}, 'moonriver': {'decimal_place': 18, 'contract_address': '0xad7f1844696652dda7959a49063bffccafafefe7'}, 'metis-andromeda': {'decimal_place': 18, 'contract_address': '0xfe282af5f9eb59c30a3f78789eeffa704188bdd4'}}"
republic-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x408e41876cccdc0f92210600ef50372656052a38'}, 'near-protocol': {'decimal_place': 18, 'contract_address': '408e41876cccdc0f92210600ef50372656052a38.factory.bridge.near'}, 'sora': {'decimal_place': 18, 'contract_address': '0x00e8a7823b8207e4cab2e46cd10b54d1be6b82c284037b6ee76afd52c0dceba6'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x451e129b6045b6e4f48e7247388f21163f7743b7'}, 'energi': {'decimal_place': 18, 'contract_address': '0x83ab721c8b3dd30ad711460f666371366550c5a7'}}"
augur,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x221657776846890989a759ba2973e427dff5c9bb'}, 'energi': {'decimal_place': 18, 'contract_address': '0x2a2666f62157769d09a64488bbb51bd77036f6ce'}}"
retro-finance,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0xbfa35599c7aebb0dace9b5aa3ca5f2a79624d8eb'}}"
reactorfusion,"{'zksync': {'decimal_place': 18, 'contract_address': '0x5f7cbcb391d33988dad74d6fd683aadda1123e4d'}}"
rari-governance-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xd291e7a03283640fdc51b121ac401383a46cc623'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xef888bca6ab6b1d26dbec977c455388ecd794794'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xcf726a06f3dcec8ef2b033336d138caa0eae5af2'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xf4bb0ed25ac7bcc9c327b88bac5ca288a08ec41e'}, 'energi': {'decimal_place': 18, 'contract_address': '0xf4bb0ed25ac7bcc9c327b88bac5ca288a08ec41e'}}"
aldrin,"{'solana': {'decimal_place': 9, 'contract_address': 'E5ndSkaB17Dm7CsD22dvcjfrYSDLCxFcMd6z8ddCk5wp'}}"
rook,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xfa5047c9c78b8877af97bdcb85db743fd7313d4a'}, 'sora': {'decimal_place': 18, 'contract_address': '0x00f58df67a15fe6c45d122767251c8660f33a2c544b5e2b70084c465b7cf84e7'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x08310baf9deb5f13b885edf5eea6fd19dc21af3a'}, 'energi': {'decimal_place': 18, 'contract_address': '0xf653d401a6af0ec568183d9d0714e3c5e61691d2'}}"
rose,"{'aurora': {'decimal_place': 18, 'contract_address': '0xdcd6d4e2b3e1d1e1e6fa8c21c8a323dcbecff970'}}"
route,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4'}}"
rocket-pool,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xd33526068d116ce69f19a9ee46f0bd304f21a51f'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x7205705771547cf79201111b4bd8aaf29467b9ec'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xb766039cc6db368759c1e56b79affe831d0cc507'}}"
reserve-rights-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x320623b8e4ff03373931769a31fc52a4e78b5d70'}, 'energi': {'decimal_place': 18, 'contract_address': '0xfce13bb63b60f6e20ed846ae73ed242d29129800'}}"
ruby,"{'skale': {'decimal_place': 18, 'contract_address': '0x2b4e4899b53e8b7958c4591a6d02f9c0b5c50f8f'}}"
thorchain,"{'thorchain': {'decimal_place': None, 'contract_address': ''}}"
revest-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x120a3879da835a5af037bb2d1456bebd6b54d4ba'}}"
sable,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x1ee098cbaf1f846d5df1993f7e2d10afb35a878d'}}"
simple-asymmetry-eth,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x6732efaf6f39926346bef8b821a04b6361c4f3e5'}}"
sail-2,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xd8f1460044925d2d5c723c7054cd9247027415b7'}}"
sake-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x066798d9ef0833ccc719076dab77199ecbd178b0'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x8bd778b12b15416359a227f0533ce2d91844e1ed'}}"
saucerswap,"{'hedera-hashgraph': {'decimal_place': 6, 'contract_address': '0.0.731861'}}"
saber,"{'solana': {'decimal_place': 6, 'contract_address': 'Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1'}}"
scaleton,"{'the-open-network': {'decimal_place': None, 'contract_address': 'EQBlqsm144Dq6SjbPI4jjZvA1hqTIP3CvHovbIfW_t-SCALE'}}"
scientix,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x2cfc48cdfea0678137854f010b5390c5144c0aa5'}}"
scream,"{'fantom': {'decimal_place': 18, 'contract_address': '0xe0654c8e6fd4d733349ac7e09f6f23da256bf475'}}"
stader,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x30d20208d987713f46dfd34ef128bb16c404d10f'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x412a13c109ac30f0db80ad3bd1defd5d0a6c0ac6'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x3bc5ac0dfdc871b365d159f728dd1b9a0b5481e8'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x1d734a02ef1e1f5886e66b0673b71af5b53ffa94'}}"
singularitydao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x993864e43caa7f7f12953ad6feb1d1ca635b875f'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x90ed8f1dc86388f14b64ba8fb4bbd23099f18240'}}"
smardex,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x5de8ab7e27f6e7a1fff3e5b337584aa43961beef'}, 'base': {'decimal_place': 18, 'contract_address': '0xfd4330b0312fdeec6d4225075b82e00493ff2e3f'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x6899face15c14348e1759371049ab64a3a06bfa6'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xfdc66a08b0d0dc44c17bbd471b88f49f50cdd20f'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xabd587f2607542723b17f14d00d99b987c29b074'}}"
stake-link,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xa95c5ebb86e0de73b4fb8c47a45b792cfea28c23'}}"
saddle-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xf1dc500fde233a4055e25e5bbf516372bc4f6871'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x75c9bc761d88f70156daf83aa010e84680baf131'}}"
stake-dao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x7ba4a00d54a07461d9db2aef539e91409943adc9'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x361a5a4993493ce00f61c32d4ecca5512b82ce90'}}"
starfish-finance,"{'astar': {'decimal_place': 18, 'contract_address': '0xee8138b3bd03905cf84afe10ccd0dccb820ee08e'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x37596f20adef5cc9618c8b6ddfa9dcb6329cb0fd'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xa719cb79af39a9c10eda2755e0938bce35e9de24'}}"
solidex,"{'fantom': {'decimal_place': 18, 'contract_address': '0xd31fcd1f7ba190dbc75354046f6024a9b86014d7'}}"
shark,"{'sx-network': {'decimal_place': 18, 'contract_address': '0x7dc31a2fcbfbad1ed4519111fd33f78316bcbc81'}}"
shadowswap-token,"{'': {'decimal_place': None, 'contract_address': ''}}"
siren,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xd23ac27148af6a2f339bd82d0e3cff380b5093de'}}"
silo-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x6f80310ca7f2c654691d1383149fa1a57d8ab1f8'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x0341c0c0ec423328621788d4854119b97f44e391'}}"
single-finance,"{'cronos': {'decimal_place': 18, 'contract_address': '0x0804702a4e749d39a35fde73d1df0b1f1d6b8347'}}"
symbiosis-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xd38bb40815d2b0c2d2c866e0c72c5728ffc76dd9'}, 'linea': {'decimal_place': 18, 'contract_address': '0x6ef95b6f3b0f39508e3e04054be96d5ee39ede0d'}, 'zksync': {'decimal_place': None, 'contract_address': '0xdd9f72afed3631a6c85b5369d84875e6c42f1827'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xf98b660adf2ed7d9d9d9daacc2fb0cace4f21835'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x9e758b8a98a42d612b3d38b66a22074dc03d7370'}}"
staked-kcs,"{'kucoin-community-chain': {'decimal_place': 18, 'contract_address': '0x00ee2d494258d6c5a30d6b6472a09b27121ef451'}}"
tranche-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0aee8703d34dd9ae107386d3eff22ae75dd616d1'}}"
solidlizard,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x463913d3a3d3d291667d53b8325c598eb88d3b0e'}}"
solend,"{'solana': {'decimal_place': 6, 'contract_address': 'SLNDpmoWTVADgEdndyvWzroNL7zSi1dF9PC3xHGtPwp'}}"
smartcredit-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x72e9d9038ce484ee986fea183f8d8df93f9ada13'}}"
swarm-markets,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xb17548c7b510427baac4e267bea62e800b247173'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xe631dabef60c37a37d70d3b4f812871df663226f'}}"
smoothy,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xbf776e4fca664d791c4ee3a71e2722990e003283'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xbf776e4fca664d791c4ee3a71e2722990e003283'}}"
synclub-staked-bnb,"{'binance-smart-chain': {'decimal_place': None, 'contract_address': '0xb0b84d294e0c75a6abe60171b70edeb2efd14a1b'}}"
solisnek,"{'avalanche': {'decimal_place': 18, 'contract_address': '0xeeee99b35eb6af5e7d76dd846dbe4bcc0c60ca1d'}}"
snowball-token,"{'avalanche': {'decimal_place': 18, 'contract_address': '0xc38f41a296a4493ff429f1238e030924a1542e50'}}"
snowswap,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xfe9a29ab92522d14fc65880d817214261d8479ae'}}"
sentre,"{'solana': {'decimal_place': 9, 'contract_address': 'SENBBKVCM7homnf5RX9zqpf1GFe935hnbU4uVzY1Y6M'}}"
havven,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f'}, 'near-protocol': {'decimal_place': 18, 'contract_address': 'c011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f.factory.bridge.near'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0x777850281719d5a96c29812ab72f822e0e09f3da'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x8700daec35af8ff88c16bdf0418774cb3d7599b4'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xbec243c995409e6520d7c41e404da5deba4b209b'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x50b728d8d964fd00c2d0aad81718b71311fef68a'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x56ee926bd8c72b2d5fa1af4d9e4cbb515a1e3adc'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x7b9c523d59aefd362247bd5601a89722e3774dd2'}, 'energi': {'decimal_place': 18, 'contract_address': '0xa255461ff545d6ece153283f421d67d2de5d0e29'}}"
synthetify-token,"{'solana': {'decimal_place': 6, 'contract_address': '4dmKkXNHdgYsXqBHCuMikNQWwVomZURhYvkkX5c4pQ7y'}}"
solarbeam,"{'moonriver': {'decimal_place': 18, 'contract_address': '0x6bd193ee6d2104f14f94e2ca6efefae561a4334b'}}"
solidly,"{'fantom': {'decimal_place': 18, 'contract_address': '0x888ef71766ca594ded1f0fa3ae64ed2941740a20'}}"
sommelier,"{'cosmos': {'decimal_place': None, 'contract_address': 'ibc/9BBA9A1C257E971E38C1422780CE6F0B0686F0A3085E2D61118D904BFE0F5F5E'}, 'ethereum': {'decimal_place': 6, 'contract_address': '0xa670d7237398238de01267472c6f13e5b8010fd1'}}"
sonne-finance,"{'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x1db2466d9f5e10d7090e7152b68d62703a2245f0'}}"
sovryn,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xbdab72602e9ad40fc6a6852caf43258113b8f7a5'}, 'rootstock': {'decimal_place': 18, 'contract_address': '0xefc78fc7d48b64958315949279ba181c2114abbd'}}"
soy-finance,"{'callisto': {'decimal_place': 18, 'contract_address': '0x9fae2529863bd691b4a7171bdfcf33c7ebb10a65'}, 'ethereum-classic': {'decimal_place': 18, 'contract_address': '0xcc67d978ddf07971d9050d2b424f36f6c1a15893'}, 'bittorrent': {'decimal_place': 18, 'contract_address': '0xcc00860947035a26ffe24ecb1301ffad3a89f910'}}"
sperax,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x5575552988a3a80504bbaeb1311674fcfd40ad4b'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xb4a3b0faf0ab53df58001804dda5bfc6a3d59008'}}"
sperax-usd,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xd74f5255d557944cf7dd0e45ff521520002d5748'}}"
spacefi-zksync,"{'zksync': {'decimal_place': 18, 'contract_address': '0x47260090ce5e83454d5f05a0abbb2c953835f777'}}"
spartadex,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x11f98c7e42a367dab4f200d2fdc460fb445ce9a8'}}"
spartan-protocol-token,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x3910db0600ea925f63c36ddb1351ab6e2c6eb102'}}"
